maker,model,mileage,manufacture_year,engine_displacement,engine_power,body_type,color_slug,stk_year,transmission,door_count,seat_count,fuel_type,date_created,date_last_seen,price_eur
nissan,note,144000.0,2008.0,1386.0,65.0,van,black,2017.0,man,4.0,5.0,gasoline,2016-01-09 03:52:57.7206+00,2016-01-19 16:33:20.617002+00,3800.0
suzuki,swift,99800.0,2007.0,1490.0,75.0,compact,red,2016.0,man,2.0,4.0,gasoline,2016-01-09 07:13:51.758101+00,2016-01-19 16:40:14.541073+00,5150.0
citroen,xsara-picasso,210000.0,2002.0,1749.0,85.0,van,grey,2016.0,man,4.0,5.0,gasoline,2016-01-09 07:13:55.952199+00,2016-07-03 18:47:09.437279+00,650.0
seat,ibiza,106000.0,2009.0,1198.0,51.0,compact,yellow,2017.0,man,3.0,5.0,gasoline,2016-01-09 07:55:16.118853+00,2016-07-03 18:42:12.606577+00,4750.0
citroen,jumper,172000.0,2007.0,3000.0,120.0,transporter,white,2016.0,man,4.0,7.0,diesel,2016-01-09 07:55:37.84307+00,2016-07-03 17:00:51.119743+00,6500.0
citroen,xsara-picasso,183000.0,2005.0,1587.0,70.0,van,silver,2016.0,man,4.0,5.0,gasoline,2016-01-09 09:21:18.389493+00,2016-07-03 17:02:32.490693+00,1899.0
fiat,500,44000.0,2010.0,1242.0,51.0,compact,violet,2016.0,auto,2.0,4.0,gasoline,2016-01-09 09:21:20.574472+00,2016-07-03 17:02:34.887778+00,7950.0
bmw,x1,83200.0,2011.0,1995.0,130.0,other,black,2016.0,man,4.0,5.0,diesel,2016-01-09 09:21:25.892716+00,2016-01-19 17:04:06.343273+00,17500.0
toyota,aygo,96596.0,2008.0,998.0,50.0,compact,red,2018.0,man,4.0,4.0,gasoline,2016-01-09 09:21:26.618689+00,2016-01-19 17:04:09.961908+00,4290.0
hyundai,i10,53700.0,2011.0,1086.0,51.0,compact,white,2018.0,man,4.0,5.0,gasoline,2016-01-09 09:21:45.376366+00,2016-07-03 18:44:51.809001+00,5980.0
ford,fusion,39000.0,2008.0,1388.0,59.0,compact,silver,2017.0,man,4.0,5.0,gasoline,2016-01-09 10:20:02.557435+00,2016-01-19 17:09:26.294259+00,4990.0
skoda,fabia,99000.0,2004.0,1390.0,55.0,compact,grey,2016.0,man,4.0,5.0,gasoline,2016-01-09 12:45:37.716482+00,2016-07-03 17:05:23.088434+00,3990.0
seat,ibiza,140000.0,1998.0,1390.0,44.0,compact,blue,2018.0,man,2.0,5.0,gasoline,2016-01-09 12:45:39.368262+00,2016-07-03 18:41:34.038236+00,1200.0
mercedes-benz,viano,68000.0,2012.0,2143.0,120.0,van,bronze,2017.0,auto,4.0,6.0,diesel,2016-01-09 12:45:40.478656+00,2016-01-19 17:18:37.66744+00,45980.0
suzuki,alto,23800.0,2009.0,996.0,50.0,compact,red,2018.0,man,4.0,4.0,gasoline,2016-01-09 12:45:41.434058+00,2016-07-03 17:00:09.846586+00,4299.0
fiat,seicento,134000.0,1999.0,1108.0,40.0,compact,black,2018.0,man,2.0,5.0,gasoline,2016-01-09 16:34:01.420122+00,2016-01-19 17:55:56.604807+00,1350.0
fiat,freemont,110000.0,2013.0,1956.0,125.0,van,white,2018.0,auto,4.0,7.0,diesel,2016-01-09 16:34:03.089183+00,2016-07-03 16:57:06.597928+00,16890.0
audi,a5,104000.0,2009.0,2967.0,176.0,coupe,black,2016.0,auto,2.0,4.0,diesel,2016-01-09 16:34:06.892615+00,2016-01-19 17:56:08.563644+00,23990.0
kia,picanto,74759.0,2006.0,1086.0,48.0,compact,silver,2018.0,man,4.0,5.0,gasoline,2016-01-09 18:40:59.699942+00,2016-01-19 18:06:47.174591+00,3350.0
ford,fiesta,103554.0,2007.0,1299.0,51.0,compact,blue,2017.0,man,2.0,5.0,gasoline,2016-01-09 18:41:00.823343+00,2016-01-19 18:06:51.649469+00,3250.0
fiat,500,36000.0,2011.0,1242.0,51.0,convertible,red,2016.0,man,2.0,4.0,gasoline,2016-01-09 18:41:18.143946+00,2016-01-19 18:07:13.636217+00,9500.0
seat,ibiza,312000.0,2004.0,1896.0,96.0,compact,black,2017.0,man,2.0,5.0,diesel,2016-01-09 18:41:44.596742+00,2016-07-03 16:56:06.540006+00,2400.0
fiat,grande-punto,35000.0,2007.0,1368.0,57.0,compact,black,2016.0,man,5.0,5.0,gasoline,2016-01-09 18:41:45.41888+00,2016-01-19 18:07:48.295709+00,4500.0
nissan,micra,161500.0,2005.0,1598.0,81.0,compact,black,2017.0,man,3.0,5.0,gasoline,2016-01-09 18:41:48.786244+00,2016-01-19 18:07:58.971525+00,2900.0
audi,a3,220000.0,1998.0,1595.0,74.0,compact,blue,2016.0,auto,2.0,5.0,gasoline,2016-01-09 18:41:51.899609+00,2016-01-19 18:08:06.499605+00,1799.0
citroen,c1,53950.0,2008.0,998.0,50.0,compact,red,2017.0,man,5.0,4.0,gasoline,2016-01-09 18:41:52.039084+00,2016-01-19 18:08:07.478131+00,4800.0
ford,c-max,158567.0,2004.0,1798.0,88.0,van,grey,2016.0,man,4.0,5.0,gasoline,2016-01-09 18:41:54.031529+00,2016-07-03 16:57:32.802183+00,4550.0
ford,ka,90610.0,2010.0,1242.0,51.0,van,white,2016.0,man,2.0,4.0,gasoline,2016-01-09 18:41:54.082407+00,2016-07-03 18:39:16.327958+00,6000.0
smart,fortwo,119850.0,2004.0,698.0,45.0,convertible,blue,2017.0,man,2.0,2.0,gasoline,2016-01-09 18:41:55.553808+00,2016-07-03 18:39:16.335042+00,1950.0
